,,Measured Depth,Measured Depth,Mud Weight,,
,M/dd/yyyy,m,m,lbm/galUS,,
1,7/15/2017,3066,3106,9.51,,BG Gas 0.4%
2,7/16/2017,3106,3333,9.51,,BG Gas 0.3-0.8%
3,7/18/2017,3398,3461,9.51,,BG Gas 0.3-0.6%
4,7/20/2017,3467,3635,9.68,,BG Gas 0.4-0.8%
5,7/21/2017,3635,3708,9.76,,BG Gas 0.4-0.8%
6,7/22/2017,3778,3827,9.68,,BG Gas 0.4-0.8%
7,7/24/2017,3889,4015,9.68,,BG Gas 0.4-0.6%
8,7/25/2017,4015,4208,9.76,,BG Gas: 0.3-0.5%
9,7/27/2017,4208,4343,9.68,,BG Gas: 0.1-0.4%
10,7/28/2017,4343,4391,9.76,,BG Gas: 0.2-0.3%
11,7/28/2017,4391,4438,9.76,,BG Gas: 0.1-0.4%
12,7/29/2017,4438,4489,9.68,,BG Gas: 2-3%
13,7/30/2017,4489,4524,9.26,,BG Gas: 1.2-2%
