MD,Azim
0,225
97.81,225
114.27,235.2
134.81,226.13
137,225.75
141.8,224.74
169.3,215.95
196.76,209
210.53,188.54
224.26,151.17
251.72,165.27
257.85,169.08
260.63,154.42
273,162.3
288.13,168.27
315.6,170.17
343.06,173.79
370.53,176.27
398,175.67
425.46,183.39
452.91,195.09
480.38,196.96
507.86,197.16
535.34,197.17
562.81,194.75
590.28,190.23
606.4,186.59
633.98,183.11
661.61,179.06
689.14,174.3
716.73,176.35
743.89,172.99
769.81,172.64
789,173.04
809.52,173.44
836.67,174.58
864.73,176.6
892.18,178.91
919.7,180.56
947.16,182.41
974.72,183.23
1002.28,182.99
1029.8,184.09
1057.08,185.37
1084.35,185.47
1111.74,185.1
1139.26,184.6
1166.93,184.67
1194.36,184.45
1221.84,184.24
1249.37,183.19
1276.67,182.57
1303.96,182.58
1331.57,182.24
1359.08,181.22
1386.87,180.49
1413.92,180.33
1441.66,179.9
1469.06,179.72
1496.38,180.06
1523.65,180.58
1551.36,181.33
1578.76,181.38
1606.48,181.48
1634.09,181.48
1661.49,181.71
1688.98,181.6
1716.57,181.67
1744.07,181.86
1771.59,182.27
1799.12,182.7
1826.52,183.5
1854,184.11
1881.49,184.7
1909.03,185.06
1936.51,185.07
1963.98,185.32
1991.54,186.8
2019.06,189.87
2046.5,190.66
2073.92,189.32
2101.65,189.82
2128.68,191.13
2156.11,192.64
2183.59,194.13
2211.03,196.42
2238.49,199.31
2266.04,202.36
2293.37,205.03
2320.96,207.88
2348.42,210.37
2375.9,212.12
2403.3,214
2430.82,215.66
2440.05,216.11
2455,216.26
2484.46,216.55
2510.18,215.49
2538.81,216.79
2566.2,219.88
2594.73,222.02
2621.38,223.86
2647.44,225.04
2675.19,226.27
2702.59,228.65
2729.99,229.14
2757.45,228.56
2784.93,228.37
2812.64,228.49
2840.08,228.67
2867.57,229.16
2894.98,229.41
2922.42,229.27
2949.88,229.72
2977.77,229.66
3004.62,229.59
3032.69,229.47
3060,229.06
3087.39,228.9
3114.85,228.4
3142.37,227.94
3169.82,228.43
3197.22,229.31
3212.63,229.3
3224.48,229.36
3251.76,229.69
3279.48,229.58
3306.83,230
3334.46,230.14
3361.98,229.67
3389.48,229.75
3416.97,229.42
3444.55,228.78
3471.16,228.4
3491,228.2
