MD,Incl
0,0
97.81,0
114.27,1.71
134.81,2.35
137,2.22
141.8,1.92
169.3,1.18
196.76,0.89
210.53,0.39
224.26,0.27
251.72,0.52
257.85,0.75
260.63,0.7
273,0.89
288.13,1.13
315.6,1.64
343.06,1.84
370.53,2.03
398,2.44
425.46,2.73
452.91,3.62
480.38,5.09
507.86,6.76
535.34,9.36
562.81,11.6
590.28,14.07
606.4,14.96
633.98,16.27
661.61,17.73
689.14,19.43
716.73,21.53
743.89,23.37
769.81,24.93
789,25.75
809.52,26.63
836.67,27.93
864.73,29.05
892.18,29.96
919.7,30.66
947.16,31.53
974.72,33.59
1002.28,36.12
1029.8,37.77
1057.08,38.97
1084.35,40.74
1111.74,42.69
1139.26,44.22
1166.93,45.69
1194.36,47.41
1221.84,48.66
1249.37,50.15
1276.67,51.44
1303.96,52.99
1331.57,54.47
1359.08,55.89
1386.87,57.49
1413.92,59.71
1441.66,61.69
1469.06,63.77
1496.38,65.43
1523.65,65.34
1551.36,64.56
1578.76,64.32
1606.48,64.44
1634.09,64.37
1661.49,64.41
1688.98,64.5
1716.57,64.54
1744.07,64.5
1771.59,64.65
1799.12,64.41
1826.52,64.72
1854,65.02
1881.49,64.91
1909.03,64.97
1936.51,65.01
1963.98,64.67
1991.54,64.2
2019.06,63.2
2046.5,61.87
2073.92,61.46
2101.65,61.45
2128.68,61.62
2156.11,60.89
2183.59,59.34
2211.03,58.14
2238.49,57.81
2266.04,57.94
2293.37,58.59
2320.96,58.49
2348.42,58.25
2375.9,57.7
2403.3,57.42
2430.82,57.1
2440.05,57.19
2455,57.17
2484.46,57.13
2510.18,56.64
2538.81,56.4
2566.2,56.69
2594.73,56.77
2621.38,56.74
2647.44,56.46
2675.19,56.58
2702.59,56.79
2729.99,56.86
2757.45,56.76
2784.93,56.9
2812.64,56.93
2840.08,56.79
2867.57,56.82
2894.98,56.79
2922.42,56.77
2949.88,56.85
2977.77,56.76
3004.62,56.31
3032.69,53.96
3060,52.46
3087.39,51.42
3114.85,50.2
3142.37,48.71
3169.82,47.04
3197.22,44.95
3212.63,45.3
3224.48,44.54
3251.76,44.71
3279.48,43.47
3306.83,41.04
3334.46,38.8
3361.98,36.75
3389.48,34.82
3416.97,33.45
3444.55,31.46
3471.16,30.43
3491,29.8
